date,trades,total_volume,avg_leverage,avg_pnl,median_pnl,win_rate,classification
2024-09-06,42,39047.114830000006,1.0,-26.306113452380952,-24.855381,0.0,Extreme Fear
2024-09-08,1,0.10981749839999999,1.0,0.0,0.0,0.0,Fear
2024-09-09,2,4014.42,1.0,0.0,0.0,0.0,Fear
2024-09-10,3,2547.28609,1.0,-73.24321966666666,-37.697891,0.0,Fear
2024-09-11,1,0.5380624473,1.0,0.0,0.0,0.0,Fear
2024-09-14,11,1014.8075296319199,1.0,0.0,0.0,0.0,Neutral
2024-09-18,145,13633.51601,1.0,-6.059895131034483,-5.504981,0.0,Neutral
2024-09-19,19,1521.854026,1.0,0.0,0.0,0.0,Neutral
2024-09-20,16,332873.40741,1.0,599.0646425,34.911835,0.5,Neutral
2024-09-21,23,165648.14804,1.0,1572.416057826087,1147.561968,1.0,Neutral
2024-09-22,3,19999.737970000002,1.0,0.0,0.0,0.0,Neutral
2024-09-23,2,40334.29548,1.0,167.380398,167.380398,0.5,Neutral
2024-09-24,10,7118.647723,1.0,0.0,0.0,0.0,Neutral
2024-09-25,9,52754.136719999995,1.0,0.0,0.0,0.0,Greed
2024-09-26,8,113711.927413,1.0,54.976564125,0.0,0.25,Neutral
2024-09-27,56,126097.029356,1.0,0.0,0.0,0.0,Greed
2024-09-28,4,29199.208700000003,1.0,0.0,0.0,0.0,Greed
2024-09-30,106,214670.00032,1.0,25.571946113207545,0.0,0.04716981132075472,Greed
2024-10-01,4,139954.32129,1.0,0.0,0.0,0.0,Neutral
2024-10-02,4,99954.34189,1.0,0.0,0.0,0.0,Fear
2024-10-03,9,132935.701832,1.0,11.152864666666666,0.0,0.3333333333333333,Fear
2024-10-04,1,0.33810461189999996,1.0,0.0,0.0,0.0,Fear
2024-10-05,37,605605.7145409533,1.0,155.86924032432432,39.480396,0.6486486486486487,Neutral
2024-10-06,22,300130.58184,1.0,5.9312308636363635,0.0,0.22727272727272727,Neutral
2024-10-07,21,219984.64516000001,1.0,0.0,0.0,0.0,Neutral
2024-10-08,36,434584.1281958693,1.0,149.90407327777777,29.615628,0.9166666666666666,Neutral
2024-10-09,14,220399.92491,1.0,28.290194285714286,0.0,0.21428571428571427,Neutral
2024-10-10,16,300024.33151,1.0,0.0,0.0,0.0,Fear
2024-10-11,26,488904.16735649866,1.0,341.74336450000004,232.8029795,0.6923076923076923,Fear
2024-10-12,10,159713.39476,1.0,54.155471,20.7155355,0.7,Neutral
2024-10-13,10,60002.41658999999,1.0,0.0,0.0,0.0,Neutral
2024-10-14,5,61916.017750000006,1.0,382.72391600000003,43.747165,1.0,Neutral
2024-10-15,7,81173.36482999999,1.0,167.17515371428573,11.821311,0.5714285714285714,Greed
2024-10-16,11,80229.16954,1.0,19.95280690909091,0.0,0.2727272727272727,Greed
2024-10-17,9,140531.75086,1.0,4.0127733333333335,0.0,0.1111111111111111,Greed
2024-10-18,6,120331.43022,1.0,55.536523499999994,51.8558325,0.8333333333333334,Greed
2024-10-19,4,99996.86605000001,1.0,0.0,0.0,0.0,Greed
2024-10-20,96,176447.874719,1.0,4.05370621875,0.0,0.11458333333333333,Greed
2024-10-21,173,324118.01302,1.0,14.248066843930635,0.0,0.3930635838150289,Greed
2024-10-22,3,60000.3603,1.0,0.0,0.0,0.0,Greed
2024-10-23,18,210006.05804,1.0,-2.5827745,0.0,0.0,Greed
2024-10-25,30,427883.18564,1.0,441.19540236666666,61.1408675,0.7,Greed
2024-10-26,6,88668.84961,1.0,7078.6656883333335,8057.245408000001,1.0,Greed
2024-10-27,4,90664.40483,1.0,166.66557699999998,30.289636,0.75,Greed
2024-10-28,13,121495.23672,1.0,12.867704769230771,0.0,0.3076923076923077,Greed
2024-10-29,53,613267.82764,1.0,15.11643162264151,0.0,0.05660377358490566,Greed
2024-10-30,25,11830.848523,1.0,0.36600091999999995,0.0,0.28,Extreme Greed
2024-10-31,48,896173.3526710001,1.0,25.292579395833332,19.0994085,0.7083333333333334,Extreme Greed
2024-11-01,23,260981.03281,1.0,45.238075478260875,0.0,0.2608695652173913,Extreme Greed
2024-11-02,2,39999.9936,1.0,0.0,0.0,0.0,Greed
2024-11-03,6,129055.6699,1.0,0.0,0.0,0.0,Greed
2024-11-04,36,451811.99086,1.0,77.76140205555555,29.134382,0.6388888888888888,Greed
2024-11-05,10,200627.22152,1.0,67.8475928,10.511846,0.5,Greed
2024-11-06,15,123906.91204000001,1.0,187.85581533333334,0.0,0.4666666666666667,Greed
2024-11-07,113,111335.248923,1.0,39.764187044247784,3.894186,0.5309734513274337,Extreme Greed
2024-11-08,39,270700.42376000003,1.0,-1.6516292564102582,0.0,0.15384615384615385,Extreme Greed
2024-11-09,86,193384.397206,1.0,1.196615581395349,0.0,0.22093023255813954,Extreme Greed
2024-11-10,173,413636.714386,1.0,5.728984589595376,0.0,0.2947976878612717,Extreme Greed
2024-11-11,373,1570572.268259,1.0,18.09552545844504,0.0,0.24664879356568364,Extreme Greed
2024-11-12,171,1226354.4955799999,1.0,20.435084175438597,0.0,0.19883040935672514,Extreme Greed
2024-11-13,48,515336.40695100004,1.0,163.46671404166668,11.65871,0.5625,Extreme Greed
2024-11-14,110,1008361.796498,1.0,41.4864475,0.0,0.2545454545454545,Extreme Greed
2024-11-15,149,1427858.505675,1.0,27.790204281879195,0.0,0.3691275167785235,Extreme Greed
2024-11-16,157,303296.101346,1.0,17.640266936305732,0.0,0.3057324840764331,Extreme Greed
2024-11-17,209,1215987.528332,1.0,4.224762129186603,0.0,0.23444976076555024,Extreme Greed
2024-11-18,346,2084339.59982066,1.0,12.921431176300578,0.0,0.3583815028901734,Extreme Greed
2024-11-19,305,628031.1904862984,1.0,9.699242593442623,0.0,0.4918032786885246,Extreme Greed
2024-11-20,550,1999514.154817,1.0,7.654714358181818,0.0,0.3981818181818182,Extreme Greed
2024-11-21,535,598300.558755,1.0,3.1634222261682243,0.0,0.308411214953271,Extreme Greed
